Alarm Triggered: Id=1351538161,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:03 AM
Alarm Triggered: Id=1404841187,Tag=aaa,Tag value= 40.67366430758 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:08 AM
Alarm Triggered: Id=1452502768,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:13 AM
Alarm Triggered: Id=1771212360,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:18 AM
Alarm Triggered: Id=1770344285,Tag=aaa,Tag value= 80.9016994374947 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:59:18 AM
Alarm Triggered: Id=1770438013,Tag=aaa,Tag value= 80.9016994374947 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:18 AM
Alarm Triggered: Id=1821398911,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:23 AM
Alarm Triggered: Id=1871628069,Tag=aaa,Tag value= 99.4521895368273 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:59:28 AM
Alarm Triggered: Id=1871600205,Tag=aaa,Tag value= 99.4521895368273 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:28 AM
Alarm Triggered: Id=1704700343,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:38 AM
Alarm Triggered: Id=1704380627,Tag=aaa,Tag value= 91.3545457642601 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 12:59:38 AM
Alarm Triggered: Id=1704353565,Tag=aaa,Tag value= 91.3545457642601 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:38 AM
Alarm Triggered: Id=2023361034,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 12:59:43 AM
Alarm Triggered: Id=2073580396,Tag=aaa,Tag value= 58.7785252292473 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 12:59:49 AM
Alarm Triggered: Id=362673108,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:04:34 AM
Alarm Triggered: Id=362758866,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:04:34 AM
Alarm Triggered: Id=737805106,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:04:44 AM
Alarm Triggered: Id=736118906,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:04:44 AM
Alarm Triggered: Id=788092480,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:04:49 AM
Alarm Triggered: Id=570363224,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:04:54 AM
Alarm Triggered: Id=568916401,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:04:54 AM
Alarm Triggered: Id=670093127,Tag=aaa,Tag value= 20.7911690817759 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:05:04 AM
Alarm Triggered: Id=985673283,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:05:09 AM
Alarm Triggered: Id=1036046319,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:05:14 AM
Alarm Triggered: Id=1039709978,Tag=aaa,Tag value= 66.9130606358858 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:05:14 AM
Alarm Triggered: Id=868279441,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:05:24 AM
Alarm Triggered: Id=868242099,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:05:24 AM
Alarm Triggered: Id=919200196,Tag=joe,Tag value= 800 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:05:29 AM
Alarm Triggered: Id=1237867677,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:05:34 AM
Alarm Triggered: Id=1237945011,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:05:34 AM
Alarm Triggered: Id=1288504245,Tag=joe,Tag value= 543.805166913106 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:05:39 AM
Alarm Triggered: Id=1339203169,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:05:44 AM
Alarm Triggered: Id=1339178430,Tag=joe,Tag value= 510.460759564517 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:05:44 AM
Alarm Triggered: Id=1121017847,Tag=joe,Tag value= 624.374610662635 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:05:49 AM
Alarm Triggered: Id=1171998308,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:05:54 AM
Alarm Triggered: Id=1541209328,Tag=aaa,Tag value= 20.7911690817759 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:06:04 AM
Alarm Triggered: Id=1591267807,Tag=joe,Tag value= 678.620805255426 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:06:09 AM
Alarm Triggered: Id=1344713191,Tag=aaa,Tag value= 66.9130606358858 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:06:14 AM
Alarm Triggered: Id=1445496555,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:06:24 AM
Alarm Triggered: Id=1445524721,Tag=aaa,Tag value= 95.1056516295154 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:06:24 AM
Alarm Triggered: Id=1764024703,Tag=joe,Tag value= 732.866999848218 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:06:29 AM
Alarm Triggered: Id=1815271338,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=2, Threshold=80, Timestamp=6/21/2024 1:06:34 AM
Alarm Triggered: Id=1815217625,Tag=aaa,Tag value= 97.8147600733806 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:06:34 AM
Alarm Triggered: Id=1647960333,Tag=aaa,Tag value= 74.3144825477394 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:06:44 AM
Alarm Triggered: Id=1647175512,Tag=joe,Tag value= 673.199343342893 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:06:44 AM
Alarm Triggered: Id=1697791855,Tag=joe,Tag value= 639.854935994304 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:06:49 AM
Alarm Triggered: Id=2013443306,Tag=aaa,Tag value= 30.9016994374948 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:06:54 AM
Alarm Triggered: Id=2067487850,Tag=joe,Tag value= 613.531686837567 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:06:59 AM
Alarm Triggered: Id=2114686880,Tag=aaa,Tag value= 20.7911690817759 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:07:04 AM
Alarm Triggered: Id=2117705169,Tag=joe,Tag value= 580.187279488979 ,Type=HIGH, Priority=3, Threshold=500, Timestamp=6/21/2024 1:07:04 AM
Alarm Triggered: Id=1947360707,Tag=aaa,Tag value= 66.9130606358858 ,Type=HIGH, Priority=1, Threshold=20, Timestamp=6/21/2024 1:07:14 AM
